title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,consent,advisory_prerequisites,other_course_info,repeatability
Senior Honors Thesis,"This is the second in a two-part honors seminar program and culminates in the composition of a senior honors thesis. Students must have successfully completed COMM 491. This course is offered only in winter term and meets only on occasion, based on a schedule to be arranged at the first class session. Students work directly with their thesis advisers, and are expected to meet regularly with them for direction and assistance.","Guo,Sitong",COMM,492,"Winter 2022, ",Section 001, - Research,3,,Honors,,COMM 251/491 and permission of instructor.,No more than three credits of COMM 491-492 may be included in a communication studies concentration plan.,May not be repeated for credit.
Composition,"For non-music majors who wish to gain understanding of the creative process and contemporary art music by composing. The course investigates traditional compositional crafts as well as more current or experimental tendencies. Student creative projects receive individual attention. No prerequisites, but the ability to read music is strongly recommended.","Etezady,Roshanne S",COMP,222,"Winter 2022, ",Section 001,,3,CE,,,COMP 221.,,May be repeated for credit.
Special Topics in Composition,"Get outside and engage all your senses! This seminar-stye class will examine the ways that composers, dancers, performers and visual artists have engaged with the living Earth, and with environmental activism. It offers a philosophical/critical look at the thinking underpinning our relationship to the more-than-human life around us, and a consideration of the role that the visual and performing arts have in structuring and transforming our understandings of the world. ","Chambers he-they, Evan  ",COMP,233,"Winter 2022, ",Section 001, - Arts and the Living Earth,3,,,,,,May be repeated for credit.
Sem Electron Mus,"Includes the study of digital synthesis techniques. Special attention is given to the relationship between technology, the creative process, and individual statement.","Santos,Erik Ros",COMP,416,"Winter 2022, ",Section 001,,2,,,With permission of instructor.,,,May be repeated for credit.
Creative Comp,An introduction to composition for students interested in concentrating on original creative work in contemporary idioms. Individual instruction is provided for student projects. Also includes biweekly lectures on appropriate aspects of musical language and composition craft.,"Sheng,Bright",COMP,422,"Winter 2022, ",Section 001,,3,,,,COMP 421.,,May be repeated for credit.
Adv Composition,Requires concurrent election of THEORY 450 when offered. Focuses on composing for the mixed consort and examines differing approaches to musical notation.,,COMP,426,"Winter 2022, ",Section 001,,2 - 4,,Independent,With permission of instructor.,COMP 425.,,May be repeated for credit.
Special Topics in Composition,"Get outside and engage all your senses! This seminar-stye class will examine the ways that composers, dancers, performers and visual artists have engaged with the living Earth, and with environmental activism. It offers a philosophical/critical look at the thinking underpinning our relationship to the more-than-human life around us, and a consideration of the role that the visual and performing arts have in structuring and transforming our understandings of the world. ","Chambers he-they, Evan  ",COMP,433,"Winter 2022, ",Section 001, - Arts and the Living Earth,3,,,,,,May be repeated for credit.
Undergrad Seminar,"To be elected concurrently with COMP 239, 240, 339, 340, 439, 440, 423, 424, 425, and 426. Study of music and examination of issues of particular interest to composers; 20th-century art music is a primary focus.","Etezady,Roshanne S",COMP,450,"Winter 2022, ",Section 001,,1,,,,"Elect concurrently with THEORY 239, 240, 339, 340, 439, 440, 423, 424, 425, 426.",,May be repeated for credit.
Sem Electron Mus,"Includes the study of digital synthesis techniques. Special attention is given to the relationship between technology, the creative process, and individual statement.","Santos,Erik Ros",COMP,516,"Winter 2022, ",Section 001,,2,,,With permission of instructor.,,,May be repeated for credit.
Adv Stdy Elec Mus,"Includes the study of digital synthesis techniques. Special attention is given to the relationship between technology, the creative process, and individual statement.","Santos,Erik Ros",COMP,526,"Winter 2022, ",Section 001,,2 - 4,,,With permission of instructor.,,,May be repeated for credit.
Writing World Literatures,"Since 2016, when they gave Bob Dylan a Nobel Prize in Literature, it seems that “the jury is out,” so to speak: songs are literature. Between our free time and working hours, spaces in our everyday lives are populated by popular music, whose variable rhythms supplement the unceasing rhythm of the calendar year. Songs are obviously a powerful mode of communication, and many musicians have had an outsize influence outside of the sphere of music in a strict sense: but what does this mean for everyone else, and how does the form of “song” relate to our day-to-day experience? What does song-writing have to do with writing writ large, and what music can we hear in the writing we encounter in our academic lives?","Woodworth, Benjamin  ",COMPLIT,122,"Winter 2022, ",Section 001, - Song and Experience,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"“She had bought herself a blotting-pad, a writing-case, a pen-holder and envelopes, though she had nobody to write to; she would dust her ornaments, look at herself in the mirror, pick up a book, then, dreaming between the lines, let it fall into her lap.” Gustave Flaubert, Madame Bovary","Pandey,Jaideep",COMPLIT,122,"Winter 2022, ",Section 002, - Making Bad Readers,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"In this class, we will explore fragmentary literary texts. Jewon Woo defines fragmentation in two ways: firstly, as “a breaking or separation into fragments and the loss of an original wholeness”, and secondly, as a process that may allow the reader to see and consider “the wholeness of a never-finished narrative” (2000: 15). In other words, while some things are lost when a text is fragmented, fragmentation also enables us to consider a text from new and exciting perspectives. ","Grimm,Lena",COMPLIT,122,"Winter 2022, ",Section 003, - Reading and Writing Fragments,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"Feminism may have different meanings to different people. Often, when we think about the word “feminism,” we assume that the forms of feminist activism and resistance are originated from Western cultures only. However, feminist activism has long been a global phenomenon. With a focus on the diversity of the kinds of feminisms, this course takes a comparative approach to investigate women’s narratives of activism from different parts of the world like the United States, the Middle East, and India. By reading the archives of global feminism, we will explore different concrete ways that feminisms worldwide have built histories and meanings that extend far beyond the North American continent. Together, we will read a variety of texts, such as articles and short stories in which we will explore questions like: How do we understand feminist practices in various locations, local and global? As a reader of women’s struggles, what is our role in reading these archives and narratives? How can we endeavor to uplift feminist voices and experiences? How can we create relationships with others that are equal? If you believe you are a feminist, then how were you inspired to be a feminist?","Araghi, Razieh  ",COMPLIT,122,"Winter 2022, ",Section 004, - Narratives of Global Feminism,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"What are the ways in which our use of language is informed by and informs history, society, and politics? How could different registers of language (private, public, academic, literary, etc.) convey or challenge different forms of politics? How could literature, art, criticism, and academic research help us better understand or problematize the relationship between language and politics? How to consider the politics of language across racial, gender, and sexual identities and temporal, geographical, and national boundaries?","Uluc,Berkay",COMPLIT,122,"Winter 2022, ",Section 005, - The Politics of Language,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"We tend to associate some books with theory, tight analysis, logical proof, sound argument while other books with stories, gripping drama, believable (though not necessarily true) historical accounts. In this course, we’ll look at these two different kinds of narratives from a comparative perspective, explore how their features might operate successfully in the same text, and think about the challenges of integrating personal stories within impersonal narratives like a research paper. We will read writers that have used storytelling to create arguments in ways that the personal and the academic interact harmoniously, producing interesting and meaningful narratives. You will learn to recognize some of the generic features of personal and impersonal essays and fuse them in your texts while creating valuable works that have a lasting impact on your audience. We will examine strategies to re-create your life experiences while developing a sound and logical argument. Some of the topics covered in this course are creating intriguing plots, unforgettable characters, and dramatic dialogues. At the same time, we will read, summarize, analyze, and synthesize articles to generate and support your own essays. At the end of the course, you will be able to understand how personal stories compare to other writing forms, approach different writing genres critically, and integrate devices from many sources and genres in your essays. A significant amount of class time will be devoted to workshopping your texts, to discussions, and to reading authors known for integrating scholarly and personal narratives in their works.","Parra Garcia,Ivan",COMPLIT,122,"Winter 2022, ",Section 006, - The Art of Storytelling in Academic Narratives,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"In this class, we will think, talk, write, and read about the non-, post-, and near-human: robots. What makes a cyborg tick, literally and figuratively? What distinguishes an automaton from an android? And when we talk about “bots” nowadays, do we tend to mean ro- or Twitter? ","McCracken, Sam  ",COMPLIT,122,"Winter 2022, ",Section 007, - Androids & Electric Sheep,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"“There is a rumor. Do you know it? / Privacy of the body; its / separateness.” So writes Ada Limón in her poem, “The Mirror & the Ribbon: after Frida Kahlo’s Fulang-Chang and I.” ","Munson,Olan",COMPLIT,122,"Winter 2022, ",Section 008, - Body Writing,4,FYWR,,,,,May not be repeated for credit.
Writing World Literatures,"Today, moral debates are everywhere, and everyone seems to have an opinion: This is right and that is wrong! This must be done, and that must be stopped! You are corrupt! I am virtuous! This must be elevated, and that must be torn down! and so on. One curiosity about this phenomenon is that while debates rage—as they have for centuries—over what is right and wrong, good and bad, virtuous and corrupt, and even over whether there is any such thing as good and bad or if there is any discernable difference between them, many of us assume our position with astounding confidence, and subsequently express it with the full weight of moral injunction. The fact of debate is not strange but the ferocity—to not mention the assurance and conviction—is curious, given that we live in a time where most confess that absolute and universal truths do not exist. As one of the authors we will read would say: the death of God did not erase morality from the world and install an existence beyond good and evil; rather, what ensued is a strange, often desperate, and sometimes fanatical grasping for and insisting on moral values and laws.","Cvjeticanin,Srdjan",COMPLIT,122,"Winter 2022, ",Section 009," - When Good Things Turn Bad, and Bad Things Turn Good: The Ironies of Moral Positions",4,FYWR,,,,,May not be repeated for credit.
First-Year Literary Seminar,"For over two millennia, the Mediterranean Sea has served as a medium of travel and migration. A space of deep hospitality but also abiding xenophobia. A bridge but also a wall between so-called East and West. People, boats, books and languages have constantly made their way into and over the sea, have shipwrecked, drowned, been detained, deported, lost, or washed up on other shores — often in other guises, like Odysseus. ","Stroebel, Will  ",COMPLIT,140,"Winter 2022, ",Section 001, - A Sea of Odysseys: Epic Journeys in the Mediterranean,3,HU,FYSem,,"Enrollment restricted to first-year students, including those with sophomore standing.",,May be repeated for a maximum of 6 credit(s).  
First-Year Literary Seminar,"Global Blackness could be used to address the complex forces shaping the idea of ‘becoming global’ and in so doing critically deepen the perspectives of Black diaspora. This course will concentrate on the lived experience of  Black people around the globe. In reading Global Blackness, we will start with these words “Black Lives Matter.” Since its inception in  the 2012 murder of 17-year-old Trayvon Martin,  Black Live Matter encapsulates the struggles of vulnerable Black people. Black Lives Matter can continually expand its reach and respond to injustices around the globe.","Ekotto,Frieda",COMPLIT,140,"Winter 2022, ",Section 002, - Global Blackness,3,HU,FYSem,,"Enrollment restricted to first-year students, including those with sophomore standing.",,May be repeated for a maximum of 6 credit(s).  
Great Books in World Literatures,"The pandemic of Covid-19 is already being used as ground zero from which human life needs to be reimagined on premises different from those were living before it began. Faced with a possibility of our own extinction many have noted that the near future should spell an end to the many negative practices that have led humanity to this point: from rapacious capitalism, pollution and waste, to racism, inequality and discrimination. In order to become better people we must even question the nature of our own desire. This course is not interested in pandemics as such, but seeks to explore possible outcomes following a joint global event of a climate emergency and a pandemic similar to the one we are living right now, in order to explore the ways the humanity is capable (or not) of reimagining their life in the future.  ","Aleksic,Tatjana",COMPLIT,222,"Winter 2022, ",Section 001," - Possible Futures Of The Human Race In Outer Space: Robots, Aliens, Replicants And Paradigms Of Exploitation And Inequality",3,HU,,,,,May not be repeated for credit.
Literature Across Borders,"Emphasizing international and interdisciplinary approaches to literary studies, this course introduces students to current topics in comparative literature. Readings come from Western and non-Western cultures and are considered within a variety of contexts.","Cross,Cameron",COMPLIT,240,"Winter 2022, ",Section 001," - Islamic Creatures: Animals, Jinn, Monsters, and Angels",3,HU,,,,This course may be counted toward the International Studies subplan in Comparative Culture and Identity. F.,May not be repeated for credit.
Topics in Comparative Literature,"This course is a collaborative and interactive introduction to audio composition, taught by a fellow passionate amateur of audio storytelling. We will start by cultivating a practice of close listening as we investigate the building blocks of what makes great radio and podcast stories. You will be exposed to a wide variety of formats, styles and subjects of audio narrative and documentary—from radio art, to This American Life, to experimental and amateur podcasts—and challenged to begin listening like a radio producer: what brings these stories to life? what choices did the creators make? what are the sonic raw materials of the piece, and how were they put together? etc. Through a series of deepening prompts, workshops, and exercises, we will simultaneously begin developing the skills to produce audio narrative compositions of our own: storytelling, recording, interviewing, and editing—supported by the facilities and staff of the Duderstadt Center and other multimedia resources on UM’s campus. Throughout the term, each student will be working on a mini-podcast final project: a chance to practice and deepen our growing audio skills. This practical training will be accompanied by reading and listening exercises that will gradually deepen your understanding of the history and politics of radio and podcasting, supplemented with analytic tools from the critical discourses of media theory and sound studies, and queer and feminist theory, as we seek to critically contextualize the past, present and future of podcasting as an art form and an industry. All technical equipment will be made available to you at no cost, though you should ideally have a smartphone for in-class audio recording practice. No prior audio experience is necessary, but an existing curiosity about podcasts and/or longform radio journalism, and a strong desire to learn audio production skills, are recommended.","Fertig, Elisabeth  ",COMPLIT,241,"Winter 2022, ",Section 001, - Adventures in Audio Storytelling,3,HU,,,COMPLIT 240.,W.,May not be repeated for credit.
America and Its Others,"Introduces students to the cross currents between the United States and other countries, to understand this tradition and alternatives to it, and to increase cultural fluency. This course may be counted toward concentration in International Studies (subplan in Comparative Culture & Identity).","Miller, Joshua L",COMPLIT,280,"Winter 2022, ",Section 001, - American Refugees,3,HU,,,,,May be elected twice for credit.  
Global Humanities,"Explores topics in world cultures with a global perspective and a humanities point of view: how different human societies respond imaginatively to pressing issues like ""Human Rights,"" ""Revolutions,"" or ""Religious Conflict"" and manifest their understandings in specific cultural productions and practices across media, including film, literature, and visual cultures.","Leontis,Artemis S",COMPLIT,300,"Winter 2022, ",Section 001, - Greek Myth in Film,4,HU,,,,,May be repeated for a maximum of 8 credit(s).  May be elected more than once in the same term.
Global Humanities,"In this mini-course, we will slowly and carefully read one book: The Parable of the Sower (1993), by Afro-futurist author Octavia Butler. Set in Los Angeles in 2024, the novel is usually classified under science fiction, but Butler's description of a California ravaged by wildfires, racial injustice, and corporate greed feels freakishly familiar to today's reader. Over the course of seven weeks, we will unpack Butler's takes on how climate change intersects with racial identity, gender, religion, and politics, among other topics. Participation includes attending Toshi Reagon and Bernice Johnson Reagon's opera adaptation of the novel at UMS on March 25 or 26.","Traisnel,Antoine Gabriel",COMPLIT,300,"Winter 2022, ",Section 005, - Octavia Butler's Parable of the Sower,2,HU,,,,,May be repeated for a maximum of 8 credit(s).  May be elected more than once in the same term.
Translating World Literatures,"This course provides an opportunity for you to build on your skills in reading a foreign language by translating literary texts into English, and in the process integrating broad theoretical concepts about translation into the textual practice of translating. The readings and writing assignments work together to introduce you to the history and theory of the practice of translation, extending a language-based approach to translation into a literary framework that emphasizes the process of reading and re-writing texts. While you are expected to write critical responses to these literary texts, periodically you will also be asked to engage with the readings through short creative exercises focusing on key issues in translation studies. All types of assignments demand a regular commitment to drafting, editing and revising. The critical and creative writing assignments are designed to build on one another, enabling students to become more attentive readers, to produce increasingly articulate responses to the translated texts, which in turn inform your own translation strategies. These posts will form the basis for the midterm paper reflecting on your views of translation, and will help you as you formulate your approach. For the final project, students will be expected to translate 8-12 pages of literature of their choosing from the language of their expertise, prefaced with an accompanying 5-8 page introduction that situates your practice in terms of the history of translation in English.","Merrill she-her-hers, Christi  ",COMPLIT,322,"Winter 2022, ",Section 001, - Translating World Literature: a workshop in English,3,"ULWR, HU",,,,,May not be repeated for credit.
The Text and Its Cultural Context, ,"Maiorova, Olga  ",COMPLIT,350,"Winter 2022, ",Section 001, - Nineteenth Century Russian Prose and Beyond,3,HU,,,,,May be repeated for a maximum of 6 credit(s).  
Literature and Identity,"Our world is defined by borders. Political, cultural, and linguistic containment and filtration systems cut through us and shape our sense of belonging. We carry them inside of us and reproduce them, through acts as simple as signing a passport, writing an essay in a standard dialect, or filling out an I-9 Form. This begs the question: what precisely are borders made of? How are they maintained, moved, or crossed? In this course we explore these questions through two comparative geographies: The Mediterranean and U.S./Mexico. Moving between literature, film, anthropology, archeology, law and climatology, we will examine the strategies by which communities are partitioned and policed in political space, in workplaces, and in language and cultural spaces, and the strategies by which they bleed across such partitions.","Stroebel, Will  ",COMPLIT,372,"Winter 2022, ",Section 001, - The Border Crossed Us,3,HU,,,,,May be repeated for a maximum of 6 credit(s).  May be elected more than once in the same term.
Literature and Ideas,"The course is designed to introduce you to the rich, creative and empowering ways in which women contest the notion of difference and negotiate with ideologies of oppression in a wide range of materials. We will read works by authors and artists such as Maya Angelou, Yehudit Katzir, Eve Ensler, Nozipo Maraire, Margaret Atwood, and Frida Kahlo, and we will engage with the unique dynamic interactions of race, sexuality, gender, ethnicity, class, and body in each work. Unpacking the way they authored their subjective narratives about the female voice, the self, friendship, intimacy, and love, we will consider both the uniqueness and enormity of each work and author as well as for the plurality of the category of women.","Tsoffar,Ruth",COMPLIT,376,"Winter 2022, ",Section 001, - Thriving on Difference,3,HU,,,,,May be repeated for a maximum of 8 credit(s).  May be elected more than once in the same term.
Literature and Ideas,"This course offers a general consideration of the ways in which particular ideas have affected the creation and history of literature, whether considered in terms of the history of ideas or as the content of an individual work.","Brown,Catherine",COMPLIT,376,"Winter 2022, ",Section 002," - It?s About Time: Asynchrony, Anachronism and Other Trips in Time",3,HU,,,,,May be repeated for a maximum of 8 credit(s).  May be elected more than once in the same term.
Comparing World Literatures and Cultures,"One way to define literature-and it's as good a way as any--is to call it a carefully crafted thing made from language by imaginative people. And, if you believe centuries of writers, “literature” means written language, not spoken. The word “literature” itself is built on the Latin word for letter. ","Brown,Catherine",COMPLIT,422,"Winter 2022, ",Section 001, - Lettered Worlds & Literary Imagination,3,,,,Junior or upper class standing.,,May be repeated for a maximum of 8 credit(s).  May be elected more than once in the same term.
Honors Thesis,"In the Honors Thesis course the Honors student typically develops the seminar work done in Comparative Literature 495 (Senior Seminar) into a longer, more thorough study under the auspices of a faculty thesis director.  Students who need help in arranging for a thesis director should contact the Comparative Literature office, 2015 Tisch Hall, 763-2351.",,COMPLIT,496,"Winter 2022, ",Section 001,,3,,"Honors, Independent",With permission of instructor.,COMPLIT 495 and Honors concentration in Comparative Literature.,"Continuing Course.  Y grade can be reported at end of the first-term to indicate work in progress. At the end of the second term, the final grade is posted for both term's elections. F, W, Sp, Su.",May not be repeated for credit.
Directed Reading,"This course is intended for Comparative Literature majors. It offers a student the opportunity to work closely with a faculty member associated with Comparative Literature on a comparative topic chosen by the student in consultation with the professor. Together they will develop a reading list; establish goals, meeting times, and credit hours (within the range); and plan papers and projects which the student will execute with the tutorial assistance of the instructor. The student will be required to submit a written proposal of his or her course to the Program office. For further information, contact the Program in Comparative Literature, 2015 Tisch.",,COMPLIT,498,"Winter 2022, ",Section 001,,1 - 4,,Independent,With permission of instructor.,,"F, W, Sp/Su, Sp, Su.",May be repeated for a maximum of 9 credit(s).  May be elected more than once in the same term.
CSP Readings Seminar,"In CSP 100 participants are encouraged to learn and apply meta-cognitive principles to the planning of their own academic, professional, and personal goals. Participants in the seminar work to enhance their academic success by embarking on a thorough examination of how they are currently approaching their learning. They then set goals for adjusting and improving their current skills to help them become better learners in this context.

Topics participants in this seminar explore have included but are not limited to the following:
	
Developing critical thinking skills
 	Basic principles of formal argumentation
 	Enhancing study techniques.
 	Improving and/or developing test-taking strategies.
 	Creating a  personal philosophy and four or five-year plan
 	Establishing academic and personal goals [short and long term] 
 	Identifying individual learning styles  
 	Time Management 
 	Effective note-taking 
 	Enhancement of Test Taking 
 	Stress Management 
 	The impact of diversity on academic success 
 	Problem solving techniques in an academic context 
 	Discussion of faculty/instructor expectations for academic success 
 	Career Exploration and its related skills [interview techniques/marketing self]  
","Winston, Charlotte R",CSP,100,"Winter 2022, ",Section 001,,3,SS,,With permission of department.,,"F, W, Su.",May be elected twice for credit.  
CSP Readings Seminar,"In CSP 100 participants are encouraged to learn and apply meta-cognitive principles to the planning of their own academic, professional, and personal goals. Participants in the seminar work to enhance their academic success by embarking on a thorough examination of how they are currently approaching their learning. They then set goals for adjusting and improving their current skills to help them become better learners in this context.

Topics participants in this seminar explore have included but are not limited to the following:
	
Developing critical thinking skills
 	Basic principles of formal argumentation
 	Enhancing study techniques.
 	Improving and/or developing test-taking strategies.
 	Creating a  personal philosophy and four or five-year plan
 	Establishing academic and personal goals [short and long term] 
 	Identifying individual learning styles  
 	Time Management 
 	Effective note-taking 
 	Enhancement of Test Taking 
 	Stress Management 
 	The impact of diversity on academic success 
 	Problem solving techniques in an academic context 
 	Discussion of faculty/instructor expectations for academic success 
 	Career Exploration and its related skills [interview techniques/marketing self]  
","Winston, Charlotte R",CSP,100,"Winter 2022, ",Section 002,,3,SS,,With permission of department.,,"F, W, Su.",May be elected twice for credit.  
Comprehensive Studies Program: Our History of Academic Success,"Since its inception, the Comprehensive Studies Program (CSP) has been instrumental in fostering diversity at the University of Michigan. In this 1-credit course, students have an opportunity to learn the history behind the development of this program. We look at the movements that lead to the creation of this program, and how the mission has evolved over time. We examine how the definition of success has changed, and how CSP has changed with it. We look at the transition from high school to the University of Michigan, identity development, self-authorship, and social justice. We address factors, both cognitive, and non-cognitive, that impact success, such as time management, study skills, and stereotype threat, and look at ways to improve student learning outcomes. We explore how the definition of diversity has expanded beyond race over the years, and how CSP uses research-based success strategies to work with today's diverse population. It is our hope that students will leave this course having a firm understanding of how CSP supports the University of Michigan's mission, and how CSP as a Michigan Learning Community fosters engagement with the program and the University.","W, Clayton  ",CSP,101,"Winter 2022, ",Section 001,,1,,,,,,May be repeated for a maximum of 2 credit(s).  
Comprehensive Studies Program: Our History of Academic Success,"Since its inception, the Comprehensive Studies Program (CSP) has been instrumental in fostering diversity at the University of Michigan. In this 1-credit course, students have an opportunity to learn the history behind the development of this program. We look at the movements that lead to the creation of this program, and how the mission has evolved over time. We examine how the definition of success has changed, and how CSP has changed with it. We look at the transition from high school to the University of Michigan, identity development, self-authorship, and social justice. We address factors, both cognitive, and non-cognitive, that impact success, such as time management, study skills, and stereotype threat, and look at ways to improve student learning outcomes. We explore how the definition of diversity has expanded beyond race over the years, and how CSP uses research-based success strategies to work with today's diverse population. It is our hope that students will leave this course having a firm understanding of how CSP supports the University of Michigan's mission, and how CSP as a Michigan Learning Community fosters engagement with the program and the University.","W, Clayton  ",CSP,101,"Winter 2022, ",Section 002,,1,,,,,,May be repeated for a maximum of 2 credit(s).  
Reading and Writing Seminar: Insiders/Outsiders,"Reading and writing seminar that examines the causes and effects of discrimination in a pluralistic society.  Course readings are be 20th-century authors:  American, African American, Native American, Asian, Puerto Rican and Mexican American.  Students examine ways in which ethnicity, race, and racism affect communities, educational institutions, families, and interpersonal relationships.","Naylor, Michael  ",CSP,105,"Winter 2022, ",Section 001,,4,"HU, RE",,With permission of department.,,W.,May not be repeated for credit.
First-Year Czech,Flex your brain with Czech! ,"Pasek, Ewa Maria",CZECH,142,"Winter 2022, ",Section 001,,4,,,,,,May not be repeated for credit.
Second-Year Czech,"Further development of grammatical structures includes acquiring the complex use of verbs (participles, reflexive passive forms), of adverbs, conjunctions, and interjections and comprises the study of complex sentences (time, conditional, of concession). Stylistic structures are studied. All grammatical material is presented in authentic cultural context with regular use of contemporary Czech mass media, Czech music, film and literature. Course is based on extensive reading and subsequent discussions. The course further enhances Czech vocabulary (CV, health, body, leisure activities) and idioms and is conducted primarily in Czech.","Pasek, Ewa Maria",CZECH,242,"Winter 2022, ",Section 001,,4,,Lang Req,,CZECH 241.,,May not be repeated for credit.
The Czech New Wave and Its Legacy,"


   This course covers an extremely important film movement in Eastern Europe, encompassing a broad range of film styles, from cinéma vérité (Miloš Forman) to surrealism and the absurd (Chytilová, Švankmajer). It also critiques authoritarian systems, ethnic discrimination, and sexism. Fourteen films are studied and discussed, with accompanying readings. Three medium-length papers are required.","Eagle,Herbert J",CZECH,315,"Winter 2022, ",Section 001,,3,"ULWR, HU, RE",,,,,May not be repeated for credit.
Supervised Czech Reading,Reading original works in selected areas of Czech literature.,,CZECH,480,"Winter 2022, ",Section 001,,1 - 4,,Independent,With permission of instructor.,,,May be elected twice for credit.  
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","West,Amy",DANCE,100,"Winter 2022, ",Section 001, - Modern,1,CE,,,For non-dance majors only.,,May be repeated for credit.
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","O'Donnell she-her, Leah  ",DANCE,100,"Winter 2022, ",Section 002, - Improvisation,1,CE,,,For non-dance majors only.,,May be repeated for credit.
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","Taylor,Imani Ma'At",DANCE,100,"Winter 2022, ",Section 003, - Afro-Fusion,1,CE,,,For non-dance majors only.,,May be repeated for credit.
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","O'Donnell she-her, Leah  ",DANCE,100,"Winter 2022, ",Section 004, - Contemporary,1,CE,,,For non-dance majors only.,,May be repeated for credit.
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","Mitchell,Marsae",DANCE,100,"Winter 2022, ",Section 005, - Intro to Tap,1,CE,,,For non-dance majors only.,,May be repeated for credit.
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","Rosario,Elisandra Mairym",DANCE,100,"Winter 2022, ",Section 006, - Latin Grooves,1,CE,,,For non-dance majors only.,,May be repeated for credit.
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","Taylor,Imani Ma'At",DANCE,100,"Winter 2022, ",Section 007, - Healing Dance and Drum Circle,1,CE,,,For non-dance majors only.,,May be repeated for credit.
Introduction to Dance,"Introductory studio dance courses provide instruction in technical and creative aspects of a variety of dance genres. Each section under this course listing is devoted to a different dance genre. Section/genres include: contemporary/modern dance; ballet; jazz; hip hop; and special topics such as dance improvisation. IN each of these sections, principles of alignment, rhythmic and spatial awareness, dynamic, flexibility, and strength are investigated as foundations for freedom of expression. Very brief reading and writing assignments, as well as performance and video viewing and analysis, inform the work in the studio. Courses culminate in the sharing of technical accomplishments and creative work.","Rosario,Elisandra Mairym",DANCE,100,"Winter 2022, ",Section 008, - Hip Hop,1,CE,,,For non-dance majors only.,,May be repeated for credit.
