course,description,experience_type
Cryptocurrency: Beyond Bitcoin Teach-Out,"Since the emergence of the first decentralized cryptocurrency Bitcoin in 2009, the landscape of global finance has been rapidly evolving. The discussion is increasingly complex, jargon-heavy, and at times controversial. This Teach-Out will provide an introduction to the mechanisms of cryptocurrency, systems of blockchain, and the process of mining. It will delve into the history of this financial instrument, the principles that underpin its development, and the extent to which the technology may deliver upon those principles. It further positions the discussion socioculturally by exploring topics such as ecological impacts, controversial and humanitarian uses, and what it may mean for the future of both global finance and individuals. The Teach-Out will encourage learners to develop their knowledge further, such that they take a personal, active role in their digital financial literacy.",teachout
Cryptocurrency: Beyond Bitcoin Teach-Out,"<h2 id=""delve-into-the-importance-of-cryptocurrencies-in-todays-financial-system"">Delve into the importance of cryptocurrencies in today’s financial system</h2>

<p>Since Bitcoin was created in 2009, the landscape of global finance has rapidly evolved. Unfortunately, the discussion is increasingly complex, jargon-heavy, and at times controversial, making it difficult for newcomers to join the conversation.</p>

<p>This course will introduce you to the mechanisms of cryptocurrency, systems of blockchain, and the process of mining. It will also take you through the characteristics of currency and the history of cryptocurrencies.</p>

<h2 id=""investigate-the-impacts-of-cryptocurrencies"">Investigate the impacts of cryptocurrencies</h2>

<p>Bitcoin is a revolutionary technology that some say has the potential to reshape global finance, but it isn’t without its critics.</p>

<p>On this course, you’ll assess the societal and ecological impacts that cryptocurrencies and their technologies have, looking at ways to mitigate any negative impacts. You’ll also consider whether cryptocurrencies carry some of their purported risks - investment fraud, market disruption, and criminal activity.</p>

<h2 id=""explore-the-future-of-blockchain-technologies"">Explore the future of blockchain technologies</h2>

<p>Cryptocurrencies are constantly evolving, as is how we use blockchain technology. Blockchain technology has the potential to redefine many industries; one example can be seen with the recent rise of Non-Fungible Tokens (NFTs).</p>

<p>You’ll look to the future and discover how changes to financial systems and technologies could affect you, especially in regards to education and developing your financial literacy.</p>

<h2 id=""learn-with-top-professionals-from-the-university-of-michigan-and-the-wider-industry"">Learn with top professionals from the University of Michigan and the wider industry</h2>

<p>This course is led by the experts from The University of Michigan and professionals working in the industry, including lawyers, financial experts, and human rights advocates. They will guide you through the topic, helping you to understand cryptocurrencies and how you can improve your digital financial literacy.</p>

<p>This course has been designed for anyone with an interest in cryptocurrencies, blockchain technologies, and their societal impacts.</p>

",course
Data Collection and Processing with Python,"This course teaches you to fetch and process data from services on the Internet. It covers Python list comprehensions and provides opportunities to practice extracting from and processing deeply nested data. You'll also learn how to use the Python requests module to interact with REST APIs and what to look for in documentation of those APIs. For the final project, you will construct a “tag recommender” for the flickr photo sharing site.

The course is well-suited for you if you have already taken the ""Python Basics"" and ""Python Functions, Files, and Dictionaries"" courses (courses 1 and 2 of the Python 3 Programming Specialization). If you are already familiar with Python fundamentals but want practice at retrieving and processing complex nested data from Internet services, you can also benefit from this course without taking the previous two.

This is the third of five courses in the Python 3 Programming Specialization.",course
"Data Collection: Online, Telephone and Face-to-face","This course presents research conducted to increase our understanding of how data collection decisions affect survey errors. This is not a “how–to-do-it” course on data collection, but instead reviews the literature on survey design decisions and data quality in order to sensitize learners to how alternative survey designs might impact the data obtained from those surveys.

The course reviews a range of survey data collection methods that are both interview-based (face-to-face and telephone) and self-administered (paper questionnaires that are mailed and those that are implemented online, i.e. as web surveys). Mixed mode designs are also covered as well as several hybrid modes for collecting sensitive information e.g., self-administering the sensitive questions in what is otherwise a face-to-face interview. The course also covers newer methods such as mobile web and SMS (text message) interviews, and examines alternative data sources such as social media. It concentrates on the impact these techniques have on the quality of survey data, including error from measurement, nonresponse, and coverage, and assesses the tradeoffs between these error sources when researchers choose a mode or survey design.",course
Data Science Ethics,"What are the ethical considerations regarding the privacy and control of consumer information and big data, especially in the aftermath of recent large-scale data breaches?

This course provides a framework to analyze these concerns as you examine the ethical and privacy implications of collecting and managing big data. Explore the broader impact of the data science field on modern society and the principles of fairness, accountability and transparency as you gain a deeper understanding of the importance of a shared set of ethical values. You will examine the need for voluntary disclosure when leveraging metadata to inform basic algorithms and/or complex artificial intelligence systems while also learning best practices for responsible data management, understanding the significance of the Fair Information Practices Principles Act and the laws concerning the ""right to be forgotten.""

This course will help you answer questions such as who owns data, how do we value privacy, how to receive informed consent and what it means to be fair.

Data scientists and anyone beginning to use or expand their use of data will benefit from this course. No particular previous knowledge needed.",course
Data Science Ethics,"<p>As patients, we care about the privacy of our medical record; but as patients, we also wish to benefit from the analysis of data in medical records. As citizens, we want a fair trial before being punished for a crime; but as citizens, we want to stop terrorists before they attack us. As decision-makers, we value the advice we get from data-driven algorithms; but as decision-makers, we also worry about unintended bias. Many data scientists learn the tools of the trade and get down to work right away, without appreciating the possible consequences of their work.</p>
<p>This course focused on ethics specifically related to data science will provide you with the framework to analyze these concerns. This framework is based on ethics, which are shared values that help differentiate right from wrong. Ethics are not law, but they are usually the basis for laws.</p>
<p>Everyone, including data scientists, will benefit from this course. No previous knowledge is needed.</p>",course
Data Science Ethics,"<h2 id=""identify-the-best-practices-for-ethical-and-responsible-data-management"">Identify the best practices for ethical and responsible data management</h2>

<p>This 4-week course will develop your knowledge of data ethics as you explore the questions around the ethics of big data and AI.</p>

<h2 id=""explore-the-ethics-of-data-collection-and-data-sharing"">Explore the ethics of data collection and data sharing</h2>

<p>From developments in healthcare to keeping cities safe, we’ve found a huge variety of useful ways of using data collection and sharing. But how does collecting data affect our personal privacy? And, how much should we trust algorithmic fairness?</p>

<p>Led by experts at the University of Michigan, you’ll use the framework of ethics to analyse the societal consequences of data science and identify why data privacy is important.</p>

<h2 id=""consider-how-big-data-is-affecting-the-modern-world"">Consider how big data is affecting the modern world</h2>

<p>As society grapples with defining shared values regarding what is okay and what isn’t when it comes to data, you’ll examine how data impacts on our principles of fairness, accountability, and transparency, and discover why it’s important we develop a shared set of societal values when it comes to data ethics.</p>

<p>While laws will be mentioned in places, this course will invite you to take a compliance viewpoint, where you think not in terms of what one can do (legally), but instead in terms of what one should do.</p>

<h2 id=""learn-with-the-director-of-the-michigan-institute-for-data-science"">Learn with the director of the Michigan Institute for Data Science</h2>

<p>The leading educator on this course is Professor HV Jagadish, Professor of Electrical Engineering and Computer Science at the University of Michigan and distinguished scientist at the Michigan Institute for Data Science.</p>

<p>Professor Jagadish is well known for his broad-ranging research on information management and has published over 200 major papers and 37 patents.</p>

<p>Whether you’re studying data science or you’re a practising data scientist, you’ll enhance your knowledge of data ethics and privacy with a leading researcher in data science and management.</p>

<p>This course is designed for data scientists and enthusiasts interested in developing their understanding of how data science impacts our society, for better or worse.</p>

",course
"Database Architecture, Scale, and NoSQL with Elasticsearch","In this final course, you will explore database architecture, PostgreSQL, and various scalable deployment configurations. You will see how PostgreSQL implements basic CRUD operations and indexes, and review how transactions and the ACID (Atomicity, Consistency, Isolation, Durability) requirements are implemented. 

You’ll learn to use Elasticsearch NoSQL, which is a common NoSQL database and a supplement to a relational database to high-speed search and indexing. We will examine Elasticsearch as an example of a BASE-style (Basic Availability, Soft State, Eventual Consistency) database approach, as well as compare and contrast the advantages and challenges associated with ACID and BASE databases.",course
Database Design and Basic SQL in PostgreSQL,"In this course you will learn more about the historical design of databases and the use of SQL in the PostgreSQL environment. Using SQL techniques and common commands (INSERT INTO, WHERE, ORDER BY, ON DELETE CASCADE, etc) will enable you to create tables, column types and define the schema of your data in PostgreSQL.    You will learn about data modeling and how to represent one-to-many and many-to-many relationships in PostgreSQL.   Students will do hands-on assignments creating tables, inserting data, designing data models, creating relational structures and inserting and querying relational data in tables.",course
Decision Criteria & Applications,"This course is an introduction to decision-making criteria widely used in the real world and will help you understand the foundational principles of how most organizations make decisions. This course is part of a specialization titled “Foundational Finance for Strategic Decision-Making” and is helpful if you are interested in applying to an MBA degree program or learning the foundations of finance to be more effective in your career. 

This course is applied and problem-based with assignments that are intentionally introductory and simpler than real-world applications you will confront when making day-to-day financial decisions and in more advanced courses.",course
Democratic to Authoritarian Rule,"<p>This event is part of Michigan’s Teach-Out Series which provides just-in-time community learning opportunities for participants around the world to come together in conversation with the U-M campus community, including faculty experts.</p>
<p>How does history help us understand today’s political climate?</p>
<p>Political systems in many countries around the world have shifted from more democratic to more authoritarian tendencies. A deeper understanding and knowledge of this past can inform how we understand contemporary political changes.</p>
<p>This Teach-Out will bring together expert knowledge about democracies and the processes that erode democratic decision-making and structures. By examining historical and comparative patterns, learners will gain a better understanding of contemporary politics.​</p>
<p>Guest contributors include:</p>
<p>Sheri Berman (Barnard College, Columbia University)</p>
<p>Juan Cole (University of Michigan)</p>
<p>Fatma Müge Göçek (University of Michigan)</p>
<p>Pauline Jones (University of Michigan)</p>
<p>Robert Kaufman (Rutgers University)</p>
<p>Maria Carmen Lemos (University of Michigan)</p>
<p>Maria Victoria Murillo (Columbia University)</p>
<p>Brian Porter-Szucs (University of Michigan)</p>",course
Democratic to Authoritarian Rule Teach-Out,"This event is part of Michigan’s Teach-Out Series which provides just-in-time community learning opportunities for participants around the world to come together in conversation with the U-M campus community, including faculty experts.

How does history help us understand today’s political climate?

Political systems in many countries around the world have shifted from more democratic to more authoritarian tendencies. A deeper understanding and knowledge of this past can inform how we understand contemporary political changes.

This Teach-Out will bring together expert knowledge about democracies and the processes that erode democratic decision-making and structures. By examining historical and comparative patterns, learners will gain a better understanding of contemporary politics.​

Guest contributors include:
Sheri Berman (Barnard College, Columbia University)
Juan Cole (University of Michigan)
Fatma Müge Göçek (University of Michigan)
Pauline Jones (University of Michigan)
Robert Kaufman (Rutgers University)
Maria Carmen Lemos (University of Michigan)
Maria Victoria Murillo (Columbia University)
Brian Porter-Szucs (University of Michigan)

What you'll learn:
Make better sense of political changes by thinking systematically about different kinds of impediments to democratic politics and decision making
Become familiar with steps through which political systems move toward greater authoritarian rule
Learn frameworks to assess how contemporary changes relate to democratic vs. authoritarian tendencies
Interact with others for greater critical appreciation of changing political structures and processes",teachout
Dentistry 101,"Dentistry 101 is an introduction to the exciting and diverse field of dentistry through the lens of its many practitioners. If you’re interested in exploring dentistry as a profession, or if you’re ready to pursue a career in it and want to prepare yourself for dental school and the profession that lies ahead, Dentistry 101 will help you better envision the paths you can take.

If you complete Dentistry 101, you'll have a well-rounded introductory understanding of the field of dentistry, and you'll get glimpses of the profession that aren't always easily available. You'll also be better informed about, and more prepared for, the dental school admissions process if you choose to pursue it.",course
Design Computing: 3D Modeling in Rhinoceros with Python Rhinoscript,"<h2 id=""use-rhinoceros-3d-modelling-software-to-design-complex-geometric-forms"">Use Rhinoceros 3D modelling software to design complex geometric forms</h2>

<p>As our world is increasingly impacted by the use of algorithms, designers must learn how to use and create design computing programs.</p>

<p>Structured around a series of fundamental design problems, this course will show you Python code in terms of its rules and syntax, and teach you what we can do with Python in its application and design.</p>

<p>By the end of the course, you’ll not only know the fundamentals of Python and Rhino script, but also understand them through the lens of their application in geometrically focused design lessons and exercises.</p>

<p>This course is designed for any students and practitioners who use the 3D modeling software Rhinoceros and want to design more complex geometric forms through structuring and implementing coding logics.</p>

<p>This course will be helpful to designers (architectural, industrial, product, web, furniture), artists (multimedia, digital, sculpture), and programmers.</p>

<p>By completing the course, students can decide if they’d like to study more advanced computing topics through further education, such as recursion, agents, and complex generative systems.</p>

<ul>
  <li>
    <p>This course integrates with a 3rd party website called the Gallery Tool, which was created by the University of Michigan in order to support collaboration between learners. You will need to make sure that <a href=""https://www.whatismybrowser.com/guides/how-to-enable-javascript/"">Javascript is enabled in your browser</a> and check that you are using <strong>Chrome, Firefox, or Edge.</strong> Safari and Internet Explorer are not supported.</p>
  </li>
  <li>
    <p>Learners will need access to <a href=""https://www.rhino3d.com/download"">Rhinocerous 3D</a> which offers a free, full version, 90-day trial for Windows and Mac. After 90 days a purchased license will be required to save files or use plug-ins. We walk you through how to install Rhinocerous 3D in the course.</p>
  </li>
</ul>
",course
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,"Why should a designer learn to code?

As our world is increasingly impacted by the use of algorithms, designers must learn how to use and create design computing programs. Designers must go beyond the narrowly focused use of computers in the automation of simple drafting/modeling tasks and instead explore the extraordinary potential digitalization holds for design culture/practice.

Structured around a series of fundamental design problems, this course will show you Python code in terms of its rules and syntax, and what we can do with it in its application and design. So, by the end of this course, you will know the fundamentals of Python and Rhino script, but importantly, through the lens of their application in geometrically focused design lessons and exercises.


Subjects covered in this course
- An introduction to Design Computing as a subject and why designers should learn to code.

- The fundamentals of coding in the Python scripting language. By the end of the course students will be familiar with the basic structure and syntax of this language.

- The understanding and application of Rhinoscriptsyntax, a native coding language in Rhinoceros that’s imported into Python, which allows one to create and control geometries through authoring code.

- The application of Procedural Logics - the structuring of coding systems to produce variable geometric form.

- The output of geometries in still and animate forms.",course
Designing and Leading Learning Systems,"<p>Pursuing goals for ambitious teaching and learning requires that students, teachers, and educational leaders learn to work together in new ways. This course engages learners in exploring four leading logics of educational innovation: strategies and approaches to producing and using knowledge to improve educational practice and outcomes at scale, across many classrooms, schools, and systems. These logics include:</p>
<ul>
<li>Shell enterprises</li>
<li>Diffusion enterprises</li>
<li>Incubation enterprises</li>
<li>Evolutionary enterprises</li>
</ul>
<p>Each of these logics has been used successfully in different types of classrooms, schools, and systems, though each also features traps and pitfalls that complicate universal usage.</p>
<p>To understand both their potential and their pitfalls, learners will apply these logics in analyzing exemplary cases of large-scale, practice-focused educational innovation in the US and abroad.</p>
<p>With deeper understandings of these logics, learners will be able to be strategic in designing and managing local innovation. They will also be able to identify external programs and projects that can serve as effective partners in innovation and improvement.</p>
<p>This course is part of the Leading Educational Innovation and Improvement MicroMasters Program offered by MichiganX.</p>",course
"Developing AR/VR/MR/XR Apps with WebXR, Unity & Unreal","This third course in the XR for Everybody specialization is geared toward the technical development of XR experiences. The course provides learners with a more technical mental model of XR technologies and the tools to approach XR development with confidence. It walks through the stages of development for both VR and AR projects, introducing the main XR development platforms as well as the key methods and tools. This third course also helps learners infer advanced XR requirements from physical/digital prototypes and teaches them how to differentiate major technical concerns, estimate development costs, and plan research necessary to advance XR.

This course also has an honors track that guides learners in the implementation of 3D, VR, and AR scenes in WebXR using A-Frame and in Unity, and helps them generate a development plan with clear milestones and deliverables.",course
Digital Twins,"In this course, learners will be introduced to the concept of Digital Twins, learn how it is applied in manufacturing, and what businesses should consider as they decide to implement this technology. Considerations include information technology infrastructure, the business value of implementing Digital Twins, and what needs to happen across the organization to ensure successful implementation.

Learners will hear from industry experts as they share their perspectives on the opportunities and challenges of implementing Digital Twins, how Digital Twins is being implemented in their companies, and insights on the future of this technology within their industry and across manufacturing.

The content presented in this course draws on a number of real-life interviews and case studies, and was created through a partnership with Siemens.",course
Discussing Politics and Debates Teach-Out,"This Teach-Out serves a guide to help you better for understand the 2020 United States presidential debates and discuss politics at a time when issues are more divisive than ever. The first part of this Teach-Out breaks down how to watch the presidential debates with a questioning mindset where you’ll create a debate action plan to help you digest the many layers of commentary on the debates. After each debate, we will share an analysis of the issues raised by the candidates with perspectives from University of Michigan faculty and community experts.

You’ll also learn how to talk about politics and other polarizing issues with friends, family, and co-workers. Experts on conflict resolution and decision making share strategies for how to have effective conversations around difficult topics. Finally, this Teach-Out includes an issue primer and information on how to vote in the U.S.",teachout
"Disinformation, Misinformation, and Fake News Teach-Out","At a time when information can be instantaneously and globally communicated, the threat of consuming misleading or false information looms large. Unverified digital information can sway public beliefs about politics, health, science, and current events, and can influence how people perceive differing opinions, experiences, and cultures. Global citizens have to navigate an increasing reliance on social media for critical facts, huge amounts of “fake news” online, and the consequences of disinformation and misinformation in daily digital life. In this Teach-Out, you will learn how to navigate this digital information landscape, identify fake news, and gain critical skills in media and information literacy. 

In this Teach-Out, you will:
Understand the history of terms and concepts like “disinformation,” “misinformation” and “fake news”
Identify different types of disinformation and how it's transmitted and received
Evaluate your own habits of media consumption and reactions when presented with novel information
Develop strategies to combat disinformation in your own life",teachout
"Disinformation, Misinformation, and Fake News Teach-Out","<h2 id=""learn-how-to-critically-engage-with-media-sources-and-combat-disinformation"">Learn how to critically engage with media sources and combat disinformation</h2>

<p>This Teach-Out course will develop your understanding of your understanding of the sources of misleading and false information in the mass media, and help you learn to critically consume media and information.</p>

<h2 id=""learn-what-drives-fake-news"">Learn what drives fake news</h2>

<p>We live in an era where information can be transmitted around the world at the click of a button – whether it’s factually correct or not.</p>

<p>The information landscape is massive and complex. Misinformation - unintentionally false information – and disinformation – intentionally false information – play a large role in shaping public beliefs on important subjects like politics, science, healthcare, and current affairs.</p>

<p>This learning experience will help you to better understand how false information arises and impacts 21st century society.</p>

<p>You’ll learn how it can influence the way people perceive and interact with other people who hold different personal opinions, life experiences, and cultures.</p>

<h2 id=""build-your-critical-literacy-skills"">Build your critical literacy skills</h2>

<p>This landscape of modern mass media means that many are increasingly relying on social media and unverified news sites for their news information.</p>

<p>This landscape of modern mass media means that many are increasingly relying on social media and unverified news sites for their news information.</p>

<p>Alongside experts from the University of Michigan and beyond, you’ll develop your understanding of today’s information landscape and learn how to build vital skills in media literacy so that you’re able to confidently consume and relay factual information.</p>

<p>This Teach-Out is designed for anyone interested in learning about how disinformation, misinformation, and fake news shape the modern information landscape and how to combat it in their own lives.</p>

",teachout
Diversity and Social Justice in Social Work,"<p>In this social sciences course, you will develop a framework for:</p>
<ul>
<li>Engaging diversity and differences in social work practice.</li>
<li>Advancing human rights and social and economic justice.</li>
</ul>
<p>We will explore the knowledge base that underlies skills needed to work towards justice. You will learn about types and sources of power, multiple social locations, social constructions, social processes, social identities, conflicts, and how all these interact.</p>
<p>You will develop skills in critical contextual thinking and analyses, and in praxis, learn to use knowledge and theory to recognize and critique underlying assumptions and paradigms and inform working for change.</p>
<p>You will learn how multiple kinds of boundaries are especially important--across groups, between organizations and system levels, and within and between people, related to intersecting social locations.</p>
<p>You will actively explore how societal power and diversity characterize and shape the human experience, and are critical to the formation of social structures, cultural understandings, group and organizational processes, and identities. You will learn how the dimensions of diversity are understood as the intersectionality of multiple factors including: age, class, color, culture, disability, ethnicity, gender, gender identity and expression, immigration status, political ideology, race, religion, sex, and sexual orientation.</p>
<p>You will learn how current experiences of privilege and oppression are shaped by historical forces, societal structures, social constructions, groups, interpersonal processes and human understandings. This includes an understanding of the institutional, organizational, policy, and socio-cultural arrangements that contribute to privilege and oppression. Additionally, this course will explore formulations of human rights, including positive rights, and negative conditions that need to be eradicated.</p>
<p>You will also study how social justice and injustice occur in organizations, institutions, and society, relevant theories that can inform work for justice (e.g., critical race theory, and components of many theories), and how mechanisms of oppression and privilege work (e.g., marginalization, exploitation, violence, cultural hegemony, and powerlessness).</p>
<p>This course is part of the Social Work: Practice, Policy and Research MicroMasters Program offered by <a href=""https://www.edx.org/school/michiganx"">MichiganX</a>. Please note that to complete this program with a MicroMasters certificate, you must be enrolled as a <em>verified</em> learner in <em>all</em> courses in the program by November 30, 2020, and you must complete all assessments by March 29, 2021.</p>",course
Diversity and Social Justice in Social Work,"<p>In this course, you will develop a framework for engaging diversity and differences in social work practice, as well as advancing human rights and social and economic justice. Explore how societal power and diversity characterize and shape the human experience, and are critical to the formation of social structures, cultural understandings, group and organizational processes, and identities.</p>

<p>Analyze how current experiences of privilege and oppression are shaped by historical forces, societal structures, social constructions, groups, interpersonal processes and human understandings. You will also explore formulations of human rights, including positive rights, and negative conditions that need to be eradicated.</p>

<p>You will learn how to:</p>

<ul>
<li><p>Explore the knowledge base that underlies skills needed to work towards social justice..</p></li>
<li><p>Identify the types and sources of power and how they interact..</p></li>
<li><p>Develop skills in critical contextual thinking, analysis, and in practice..</p></li>
<li><p>Learn to use knowledge and theory to recognize and critique underlying assumptions and paradigms and inform working for change..</p></li>
<li><p>Understand the dimensions of diversity as the intersectionality of multiple factors including age, class, ethnicity, and more..</p></li>
<li><p>Social justice and injustice occur in organizations, institutions, and society.</p></li>
</ul>",course
Django Features and Libraries,"In this course, you will learn how to build Django-based web applications suitable for use by end users.  You will learn about cookies, sessions, and authentication processes in Django.  You will build navigation into your applications and explore ways to easily improve the look and feel of Django applications.  You will begin to develop a simple application to support a classified ads website that will walk you through many of the issues and techniques that you encounter in website development.  You will also learn how to move an application from development to production.",course
Django Features and Libraries,"<p>In this course, you will learn how to build Django-based web applications suitable for use by end users. You will learn about cookies, sessions, and authentication processes in Django. You will build navigation into your applications and explore ways to easily improve the look and feel of Django applications. You will begin to develop a simple application to support a classified ads website that will walk you through many of the issues and techniques that you encounter in website development. You will also learn how to move an application from development to production.</p>",course
Django Features and Libraries,"<h2 id=""learn-the-ins-and-outs-of-django-and-how-to-build-web-applications"">Learn the ins and outs of Django and how to build web applications</h2>

<p>This practical, six-week course from the University of Michigan will give you all the skills you need in order to build Django-based web applications suitable for use by end users.</p>

<h2 id=""define-django-login-and-decipher-how-cookies-are-used-to-support-sessions"">Define Django login and decipher how cookies are used to support sessions</h2>

<p>You’ll learn about cookies, sessions, and authentication processes within the Django framework, and will decipher how cookies are used to support sessions.</p>

<p>You’ll also build navigation into your applications, and a built-in login functionality which will be able to manage login users in views. Then, you’ll explore a multitude of ways in which to easily improve the look and feel of Django applications.</p>

<h2 id=""create-edit-and-delete-form-flow-within-the-django-framework"">Create, edit, and delete form flow within the Django framework</h2>

<p>You’ll then begin to develop a simple application in order to support a classified ads website. In doing so, you’ll be guided through many of the issues and techniques that you may encounter in website development.</p>

<p>You’ll also learn how to move an application from development to production, will demonstrate how to represent links in a database and will create, edit and delete form flow inside of a generic edit view.</p>

<h2 id=""learn-from-django-and-programming-experts-at-the-university-of-michigan"">Learn from Django and programming experts at the University of Michigan</h2>

<p>As the number one ranking public research university within the entirety of the United States, the University of Michigan has been a world leader in research, learning, and teaching for more than 200 years.</p>

<p>You’ll be guided throughout the course by leaders in the programming field, and the course itself is part of a series that introduces Python programmers to building websites using the Django library. Across the four courses, you’ll learn HTML, CSS, SQL, Django, JavaScript, jQuery, and JSON Web Services.</p>

<p>This programming course is designed for learners who are wanting to get into web development and who have some basic Python programming experience.</p>

<p>This series of courses is also excellent preparation for learning other ways to build web applications using technologies like PHP (Web Applications for Everybody), Flask or Ruby on Rails, and therefore could be suitable to anyone wishing to work within these fields.</p>

",course
Doin' Time: Through the Visiting Glass (Seeking Justice: Conversations on Incarceration),"<p><i>Doin’ Time: Through the Visiting Glass</i> is a play which examines the impacts of incarceration on families. Ashley Lucas, the child of an incarcerated father, conducted interviews in California, Texas, and New York with family members of the incarcerated, formerly incarcerated people, and those who do work connected to prisons. She also corresponded with over 400 incarcerated people from across the U.S. Weaving together these interviews and letters with her personal experience as a prisoner’s child and creative writing, Lucas wrote a one-person play which she performs herself. Doin’ Time uses monologues to take the audience through a variety of perspectives on the families of the incarcerated. Since 2004, Lucas has performed Doin’ Time both inside and outside prisons throughout the U.S. and in Ireland, Canada, and Brazil.
</p>

<p>To browse the video content, please click the lessons tab or the Start button above. If you find any errors, or have ideas for improvements, or future topics or interviewees, please submit them via the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfOW6BohaAAk_HiwBX5-G41Q7xhZJStZNFOO4StV6eLNgeu2A/viewform?usp=sf_link"" target=""_blank"">Error Reports, Comments, and Suggestions form.</a>
</p>

<p>
Please remember to join us in the Learning Community! For your convenience, here is a <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfsggVqNieHhzEvHCHzsoJzgxmQJlOOPnukx5WBrpu8Hg-P0w/viewform?usp=sf_link"" target=""_blank"">link to the sign-up sheet</a>
</p>",course
Earth Day at 50 Teach-Out,"On April 22, 2020, our world celebrates the 50th anniversary of Earth Day, an annual event meant to bring people together from across the world in protest, solidarity, and conversation about how we can collectively fight for a sustainable and just world. In this Teach-Out, you will explore the origins of Earth Day 1970 with student activists from Environmental Action for Survival (ENACT), an environmental student group from the University of Michigan, whose efforts led to a massive “Teach-In on the Environment” which drew tens of thousands of people. This was just one of many teach-in events that took place in 1970 and kicked-off Earth Day as we know it. 

50 years later,  you are invited to this “Teach-Out” to engage in an intergenerational and interdisciplinary conversion about what sustainability means across different sectors, disciplines, and lived experiences. You will explore themes including global sustainability efforts, climate change, environmental justice, and more, to inspire you to take action on Earth Day and beyond. Together, we will collectively develop visions for a sustainable, just, and peaceful world.

Here is a preview of some of the people in this Teach-Out:
- Matt Lassiter, Professor of History & Urban and Regional Planning
- David Allen, Art Hanson, Elizabeth Kingwell, and George Coling - Members of Environmental Action for Survival (ENACT)
- Neda Masoud, Assistant Professor of Civil and Environmental Engineering
- Jonathan Overpeck, Dean, School for Environment and Sustainability
- Michaela Zint, Professor and Associate Dean, School for Environment and Sustainability
- Pamela Ruiter-Feenstra, Carillonist & Carillon Instructor
And many others!",teachout
Earth Day at 50 Teach-Out,"<h2 id=""explore-the-past-present-and-future-of-sustainability-this-earth-day-2020"">Explore the past, present, and future of sustainability this Earth Day 2020</h2>

<p>April 22 2020 marks 50 years of Earth Day. Earth Day is celebrated around the world and brings together individuals to protest and open up the conversation around sustainability.</p>

<p>On this Teach-Out, you’ll learn how the actions of University of Michigan students from the Environmental Action for Survival (ENACT) group started Earth Day as we know it.</p>

<p>50 years on, you’re invited to explore how sustainability spans generations, experiences, and industries.</p>

<p>You’ll discover sustainable and climate change action taking place around the world, and be inspired by stories of environmental justice.</p>

<p>You’ll learn with an expert team of guest educators from Michigan University, including:</p>

<ul>
  <li>Matt Lassiter, Professor of History &amp; Urban and Regional Planning</li>
  <li>David Allen, Art Hanson, Elizabeth Kingwell, and George Coling - Members of Environmental Action for Survival (ENACT)</li>
  <li>Neda Masoud, Assistant Professor of Civil and Environmental Engineering</li>
  <li>Jonathan Overpeck, Dean, School for Environment and Sustainability</li>
  <li>Michaela Zint, Professor and Associate Dean, School for Environment and Sustainability</li>
  <li>Pamela Ruiter-Feenstra, Carillonist &amp; Carillon Instructor</li>
</ul>

<p>This course is designed for anyone interested in learning more about the beginnings and history of Earth Day in 1970 and anyone who wants to learn more about the future of sustainability.</p>

",teachout
"Engaging Social Justice, Diversity and Oppression in Social Work","This course is designed to increase learners’ awareness, knowledge and critical skills related to diversity, human rights, social and economic justice. The topics of this course include developing a framework for 1) engaging diversity and differences in social work practice and 2) advancing human rights and social and economic justice. The course is organized into eight modules that include information lectures, readings, resource videos, interviews with experts, and engaging activities to encourage reflection, growth, and action. We anticipate that it will take you approximately three or four hours to complete each of the modules.",course
Environmental Hazards and Global Public Health,"The second course of the Impacts of the Environment on Global Public Health specialization will explore a number of different environmental hazards. These are: air pollution, water pollution, solid and hazardous waste, and two physical hazards (radon and noise). These hazards each have the potential to harm human health, and we will explore how you may come into contact with these hazards and how they may harm you, as well as what we can do to minimize these exposures and health impacts. We will also explore two additional key topics: urban and global health, and the influence of the built environment on human health.",course
Environmental Health: the Foundation of Global Public Health,"The first course of the Impacts of the Environment on Global Public Health specialization will provide you with a foundation in environmental health sciences (EHS). We will explore four main topics. The first is an introduction to EHS and the exposure-disease model – a very useful framework for understanding the influence of the environment on human health. The second topic is key concepts in EHS and environmental health policies that can be used to address and reduce the impacts of environmental health hazards. The third topic is the application of systems thinking to understand and analyze environmental health issues. The fourth and final topic is occupational health, which is a key environment that represents a major source of morbidity and mortality from a public health perspective.",course
