title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,advisory_prerequisites,other_course_info,repeatability,consent
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Amidei,Dante Eric",BIOPHYS,151,"Fall 2021, ",Section 010,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","McCusker,Daniel",BIOPHYS,151,"Fall 2021, ",Section 011,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Zhang,Weizhe",BIOPHYS,151,"Fall 2021, ",Section 012,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Zhang,Weizhe",BIOPHYS,151,"Fall 2021, ",Section 013,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Petrosky,Evan Pangan",BIOPHYS,151,"Fall 2021, ",Section 014,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Petrosky,Evan Pangan",BIOPHYS,151,"Fall 2021, ",Section 015,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Willard,Patrick",BIOPHYS,151,"Fall 2021, ",Section 020,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Jerdee,Maximilian",BIOPHYS,151,"Fall 2021, ",Section 021,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Jerdee,Maximilian",BIOPHYS,151,"Fall 2021, ",Section 022,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Zhang,Lei",BIOPHYS,151,"Fall 2021, ",Section 023,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Hofer,Dustyn Dean",BIOPHYS,151,"Fall 2021, ",Section 024,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Hofer,Dustyn Dean",BIOPHYS,151,"Fall 2021, ",Section 025,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Jerdee,Maximilian",BIOPHYS,151,"Fall 2021, ",Section 030,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Jerdee,Maximilian",BIOPHYS,151,"Fall 2021, ",Section 031,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Hernandez,Miguel Angelo",BIOPHYS,151,"Fall 2021, ",Section 032,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Hernandez,Miguel Angelo",BIOPHYS,151,"Fall 2021, ",Section 033,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Zhang,Lei",BIOPHYS,151,"Fall 2021, ",Section 040,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Zhang,Lei",BIOPHYS,151,"Fall 2021, ",Section 041,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Saskowski,Robert",BIOPHYS,151,"Fall 2021, ",Section 042,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Willard,Patrick",BIOPHYS,151,"Fall 2021, ",Section 043,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Willard,Patrick",BIOPHYS,151,"Fall 2021, ",Section 060,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Saskowski,Robert",BIOPHYS,151,"Fall 2021, ",Section 061,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","Zhang,Lei",BIOPHYS,151,"Fall 2021, ",Section 062,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory I,"BIOPHYSICS/PHYSICS 151 is a two-hour weekly laboratory designed to accompany PHYSICS 150. This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on theory. The course material is focused on understanding the principles of classical mechanics.","McCusker,Daniel",BIOPHYS,151,"Fall 2021, ",Section 063,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 150 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Fundamental Physics for the Life Sciences II,"Have you ever wondered how physics is important and useful in the fields of biology chemistry, and medicine? BIOPHYS/PHYSICS 250 is a new introductory physics course that will reveal the synergy between these fields and explore fundamental physics principles that are ubiquitous in the life sciences. Biology, chemistry, and medicine will provide our guiding motivation and context for exploring first-semester physics topics including energy, mechanics, fluids, and thermodynamics. These topics will be covered in the depth and manner in which they appear on the MCAT and in life science courses. In line with this, students will also learn to use quantitative reasoning, develop mathematical models, and engage in scientific dialogue with a diverse group of future scientists and healthcare professionals. This course examines physical concepts through biological examples and consists of both interactive lectures and studio meetings to facilitate student learning and enhance student performance. Lectures will encourage student participation through a variety of in-class activities in which students work directly with, discuss, and respond to lecture material and demonstrations. During studio meetings, students will gain hands-on experience solving physics problems in small groups, facilitated by an instructor and peer learning assistants.","Chaney,Andrea",BIOPHYS,250,"Fall 2021, ",Section 001,,4,"BS, NS, QR/1",,"PHYSICS 135 or BIOPHYS/PHYSICS 150. MATH 115, 120, 185, or 295; knowledge of differential and integral calculus minimally at the level of MATH 115, or its high school equivalent, will be needed. Students should elect BIOPHYS/PHYSICS 251 concurrently.",,May not be repeated for credit.,
Fundamental Physics for the Life Sciences II,"Have you ever wondered how physics is important and useful in the fields of biology chemistry, and medicine? BIOPHYS/PHYSICS 250 is a new introductory physics course that will reveal the synergy between these fields and explore fundamental physics principles that are ubiquitous in the life sciences. Biology, chemistry, and medicine will provide our guiding motivation and context for exploring first-semester physics topics including energy, mechanics, fluids, and thermodynamics. These topics will be covered in the depth and manner in which they appear on the MCAT and in life science courses. In line with this, students will also learn to use quantitative reasoning, develop mathematical models, and engage in scientific dialogue with a diverse group of future scientists and healthcare professionals. This course examines physical concepts through biological examples and consists of both interactive lectures and studio meetings to facilitate student learning and enhance student performance. Lectures will encourage student participation through a variety of in-class activities in which students work directly with, discuss, and respond to lecture material and demonstrations. During studio meetings, students will gain hands-on experience solving physics problems in small groups, facilitated by an instructor and peer learning assistants.","Meiners,Jens-Christian D",BIOPHYS,250,"Fall 2021, ",Section 002,,4,"BS, NS, QR/1",,"PHYSICS 135 or BIOPHYS/PHYSICS 150. MATH 115, 120, 185, or 295; knowledge of differential and integral calculus minimally at the level of MATH 115, or its high school equivalent, will be needed. Students should elect BIOPHYS/PHYSICS 251 concurrently.",,May not be repeated for credit.,
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Yu,Chengdao",BIOPHYS,251,"Fall 2021, ",Section 010,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Fermin Olivares,Derek Manuel",BIOPHYS,251,"Fall 2021, ",Section 011,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Hu,Kaiwen",BIOPHYS,251,"Fall 2021, ",Section 013,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Hu,Kaiwen",BIOPHYS,251,"Fall 2021, ",Section 014,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Zhu,Yuan",BIOPHYS,251,"Fall 2021, ",Section 015,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Yu,Chengdao",BIOPHYS,251,"Fall 2021, ",Section 020,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Spivack,Isaac Robert",BIOPHYS,251,"Fall 2021, ",Section 021,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Devilbiss,Mackenzie",BIOPHYS,251,"Fall 2021, ",Section 022,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Spivack,Isaac Robert",BIOPHYS,251,"Fall 2021, ",Section 023,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Zhu,Yuan",BIOPHYS,251,"Fall 2021, ",Section 024,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Yu,Chengdao",BIOPHYS,251,"Fall 2021, ",Section 030,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Yu,Chengdao",BIOPHYS,251,"Fall 2021, ",Section 031,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Yang,Brian",BIOPHYS,251,"Fall 2021, ",Section 032,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Yang,Brian",BIOPHYS,251,"Fall 2021, ",Section 033,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Fermin Olivares,Derek Manuel",BIOPHYS,251,"Fall 2021, ",Section 041,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physics for the Life Sciences Laboratory II,"BIOPHYSICS/PHYSICS 251 is a two-hour weekly laboratory designed to accompany BIOPHYSICS/PHYSICS 250.  This lab introduces students to experimental methods in science. Students make observations, analyze their data and compare their results to predictions based on the standard laws of physics. The course material is focused on understanding the principles of electricity and magnetism, including light and wave phenomena.","Devilbiss,Mackenzie",BIOPHYS,251,"Fall 2021, ",Section 042,,1,"BS, NS",,Concurrent election with BIOPHYS/PHYSICS 250 is strongly recommended.,,May not be repeated for credit.,With permission of instructor.
Physical and Chemical Principles Behind Biology and Medicine,"Physical chemistry is having a major impact on all areas of science that concern the properties of molecules. In particular, the design of pharmaceutical drugs, understanding detailed structure-function relationships of proteins, RNA and DNA are highly dependent on the development of physical chemistry concepts.","Hayes,Ryan",BIOPHYS,370,"Fall 2021, ",Section 001,,3,"BS, NS",,"Students should have knowledge of basic physical chemistry, multivariable or applied calculus and mid-level physics as covered in, for ex: MATH 215 or CHEM 262; CHEM 130 or 210 or PHYSICS 235, 239 or 240.",,May not be repeated for credit.,
Research in Biophysics,"Research in a modern research laboratory under the direction and supervision of a
faculty member is a required part of the biophysics curriculum to prepare students
adequately for their future career as a biophysicist in academic or industrial research.",,BIOPHYS,399,"Fall 2021, ",Section 001,,1 - 4,BS,Independent,,,May be repeated for a maximum of 8 credit(s).  ,With permission of department.
Special Topics in Biophysics,This seven-week mini-course will help prepare undergraduate students for summer STEM research opportunities such as NSF REU programs and other internships. Students will learn how to identify programs that best suit their research interests. They will receive guidance in preparing application materials and for best practices once admitted to their chosen program.,"Brooks III,Charles L",BIOPHYS,401,"Fall 2021, ",Section 001, - Pursuing Summer Opportunities in STEM,1,BS,,Seniors or graduate standing.,,May be repeated for a maximum of 6 credit(s).  May be elected more than once in the same term.,
Directed Study,A program of supervised study agreed upon by a student and a member of the faculty.,,BIOPHYS,415,"Fall 2021, ",Section 001,,1 - 4,BS,Independent,,,May be elected twice for credit.  May be elected more than once in the same term.,With permission of department.
Structural Biology: Biophysical Controversies,"This course aims to address scientific controversies in structural biology through a discussion-based process. Additionally, students will be introduced to major structural biological determination techniques. Strengths and weaknesses of these techniques will be explored in the primary literature, and students will examine how to avoid the pitfalls of their misuse.","Frank, Aaron Terrence",BIOPHYS,421,"Fall 2021, ",Section 001,,3,BS,,"Previous or concurrent enrollment in CHEM 351, MCDB 310, or BIOLCHEM 415.",,May not be repeated for credit.,
Biophysics of Diseases,"
The course will introduce to the students most commonly used biophysical methods for
studying the molecular mechanism of complex diseases and therapy development. The emphasis will
be on protein misfolding diseases (Parkinson’s, Alzheimer’s and prion), but diseases like cancer, viral
(HIV) and bacterial infections will be also discussed. Classical biophysical methods like x-ray
crystallography, NMR and cryoEM will be discussed, as well as, the most recent developments of the
cutting-edge methods. Some lectures will be presented by invited speakers who will talk about their
disease studies for which they apply a combination of biophysical, biochemical and molecular
techniques.Course Requirements:For Fall 2020: testing for the course will be synchronous and will consist of multiple choice, short answer, and assay questions that will be submitted via Canvas.

Biweekly problem-solving homework assignments, assigned readings, weekly quizzes, two exams (20 pts each), one final paper (5-7 pages)that critically explores the biophysical basis for a student-chosen human disease and discusses how an in-depth biophysical understanding of the disease process can help in the rational design of therapeutics. Students will also present their final papers in class (30 pts ).","Ivanova, Magda  ",BIOPHYS,440,"Fall 2021, ",Section 001,,3,BS,,"Students should have knowledge of physical chemistry as covered in courses such as: CHEM 230, CHEM 260 or BIOPHYS/CHEM/PHYSICS 370, or PHYSICS 390/391.",,May not be repeated for credit.,
Introduction to Information Theory for the Natural Sciences,"This course introduces the basic tools of Information Theory, Entropy, Relative Entropy, and Information, and highlights their utility with applications drawn from various disciplines.  After introducing the basics of probability theory and information theory, we explore topics including coding, data compression, channel capacity, thermodynamics, population dynamics, gene transcription, network science, and more.  Familiarity with a simple computational package is a plus, but not required.","Horowitz,Jordan Michael",BIOPHYS,445,"Fall 2021, ",Section 001,,3,,,MATH 425/STATS 425.,,May not be repeated for credit.,
Laboratory Techniques in Biophysics,,,BIOPHYS,450,"Fall 2021, ",Section 001,,3,"ULWR, BS",,"Students should have knowledge of physical chemistry and biochemistry, as covered in the curriculia of: CHEM 230 or CHEM 260 or BIOPHYS 370; CHEM 351, MCDB 310 or BIOLCHEM 415.",,May not be repeated for credit.,
Mathematical Modeling in Biology,"The complexities of the biological sciences make interdisciplinary involvement essential and the increasing use of mathematics in biology is inevitable as biology becomes more quantitative. Mathematical biology is a fast-growing and exciting modern application of mathematics that has gained worldwide recognition. In this course, mathematical models that suggest possible mechanisms that may underlie specific biological processes are developed and analyzed. Another major emphasis of the course is illustrating how these models can be used to predict what may follow under currently untested conditions. The course moves from classical to contemporary models at the population, organ, cellular, and molecular levels. The goals of this course are: (i) Critical understanding of the use of differential equation methods in mathematical biology and (ii) Exposure to specialized mathematical and computational techniques which are required to study ordinary differential equations that arise in mathematical biology. By the end of this course, students will be able to derive, interpret, solve, understand, discuss, and critique discrete and differential equation models of biological systems.

 For more information on this course, please visit the Department of Mathematics webpage Class Format:We are currently anticipating in-person instruction for the Fall 2021 term, however this may be subject to change due to the uncertainty of the pandemic and what shape Fall 2021 will take.","Kim,Dae Wook",BIOPHYS,463,"Fall 2021, ",Section 001,,3,BS,,"MATH 214, 217, 417, or 419; and MATH 216, 256, 286, or 316.",,May not be repeated for credit.,
Mathematical Modeling in Biology,"The complexities of the biological sciences make interdisciplinary involvement essential and the increasing use of mathematics in biology is inevitable as biology becomes more quantitative. Mathematical biology is a fast-growing and exciting modern application of mathematics that has gained worldwide recognition. In this course, mathematical models that suggest possible mechanisms that may underlie specific biological processes are developed and analyzed. Another major emphasis of the course is illustrating how these models can be used to predict what may follow under currently untested conditions. The course moves from classical to contemporary models at the population, organ, cellular, and molecular levels. The goals of this course are: (i) Critical understanding of the use of differential equation methods in mathematical biology and (ii) Exposure to specialized mathematical and computational techniques which are required to study ordinary differential equations that arise in mathematical biology. By the end of this course, students will be able to derive, interpret, solve, understand, discuss, and critique discrete and differential equation models of biological systems.

 For more information on this course, please visit the Department of Mathematics webpage Class Format:We are currently anticipating in-person instruction for the Fall 2021 term, however this may be subject to change due to the uncertainty of the pandemic and what shape Fall 2021 will take.","Jackson,Trachette L",BIOPHYS,463,"Fall 2021, ",Section 002,,3,BS,,"MATH 214, 217, 417, or 419; and MATH 216, 256, 286, or 316.",,May not be repeated for credit.,
